"uf" "municipio" "populacao" "total_despesas" "despesas_legislativas" "despesas_administrativas" "despesas_seguranca" "despesas_assis_social" "despesas_saude"
"166" "MG" "Chale" 5643 9725908.98 0 966276.45 0 168824.71 2583496.25
"167" "MG" "Chapada do Norte" 15184 23498471.79 673737.54 1495258.54 0 868490.64 5625113.97
"168" "MG" "Chapada Gaucha" 11339 20925524.87 847335.29 1868970.48 125873.41 817052.43 5921349.25
"169" "MG" "Chiador" 2759 11910516.16 518998.25 1222296.79 27457.84 696535.08 2543063.42
"170" "MG" "Cipotanea" 6578 9768215.09 415827.41 760338.19 19916.92 297195.27 3460966.21
"171" "MG" "Claraval" 4588 10875519.87 378227.94 2310901.68 33332.51 436012.29 2237641.65
"172" "MG" "Claro dos Pocoes" 7712 12849928.05 331870.22 1843526.27 6403.17 626986.05 3140525.11
"173" "MG" "Claudio" 26262 38791605.09 813122.08 7017555.21 80405.47 1475345.93 8813095.21
"174" "MG" "Coimbra" 7135 13572226.05 273153.59 1349670.66 0 366265 2892711.03
"175" "MG" "Coluna" 8972 11935844.74 403586.04 1098542.01 22409.8 421999.78 4271622.59
"176" "MG" "Comendador Gomes" 2992 10832489 525293.87 2016204.65 0 732448.63 2288763.78
"177" "MG" "Comercinho" 8011 13891063.94 527150.68 1671051.35 0 505886.19 2936449.49
"178" "MG" "Conceicao da Aparecida" 9888 15458059.1 703504.6 1281304.56 160399.15 271382.04 4390560.9
"179" "MG" "Conceicao da Barra de Minas" 3944 8693526.81 269927.03 1669563.75 22215.56 488080.79 2030729.97
"180" "MG" "Conceicao das Alagoas" 23932 64516768.08 2051975.98 6296577.09 84675.37 2424393.94 16834571.64
"181" "MG" "Conceicao das Pedras" 2755 8057843.08 264157.5 1092488.6 0 304190.23 2518449.18
"182" "MG" "Conceicao de Ipanema" 4468 9600222.44 434528.61 965798.41 40271.52 282127.46 2275120.17
"183" "MG" "Conceicao do Mato Dentro" 17798 42939922.72 701368.34 3746409.05 0 1671544.94 10418529.87
"184" "MG" "Conceicao do Para" 5214 14855531.8 871147.67 2676981.77 10407.8 625573.21 3888468.9
"185" "MG" "Conceicao do Rio Verde" 13052 20794561.04 405512.42 3809666.26 0 596700.38 5300431.86
"186" "MG" "Conceicao dos Ouros" 10609 17045535.75 523038.26 1278557.15 59368.89 411722.6 3836024.15
"187" "MG" "Conego Marinho" 7196 13358872.64 430960.25 2345752.07 21111.4 1898438.99 2683855.79
"188" "MG" "Confins" 6077 17900903.28 709811.92 3842935.1 60566.88 547349.01 4091534.16
"189" "MG" "Congonhal" 10732 15209678.03 230370.53 1345675.57 51415.26 409725.53 4724791.27
"190" "MG" "Congonhas" 49616 231219139.24 8325372.86 43583607.57 1101825.85 6513611.28 54394893.51
"191" "MG" "Congonhas do Norte" 4950 10022773.1 499261.56 1049146.87 29541.32 422075.96 2875108.73
"192" "MG" "Conquista" 6591 19043958.54 931928.84 4455995.26 0 636039.99 3934187.95
"193" "MG" "Conselheiro Lafaiete" 118578 149343439.32 3834402.39 16460559.01 1097183.43 3101829.56 59284629.84
"194" "MG" "Conselheiro Pena" 22319 33675648.96 1379936.08 2704891.7 99020.15 540007.49 6177541.22
"195" "MG" "Consolacao" 1732 8730655.79 396475.54 1208990.6 23317.12 220578.41 1944632.57
"196" "MG" "Contagem" 613815 1092061841.7 29570662.14 87254820.46 17005338.29 33236341.95 311347365.03
"197" "MG" "Coqueiral" 9241 14687620.92 586733.15 2207494.3 40839.97 465312.69 3396884.41
"198" "MG" "Coracao de Jesus" 26079 39171870.78 1052727.62 2995149.29 0 1518736.78 10861063.04
"199" "MG" "Cordisburgo" 8689 13389673.27 387742.78 1930785.87 0 455919.41 3320901.78
"200" "MG" "Cordislandia" 3447 9356635.33 441525.34 2145810.18 18962.39 323893.58 2548054.37
"201" "MG" "Corinto" 23819 34725246.06 1433720.18 5194580.89 44087.19 1120551.26 9140586.96
"202" "MG" "Coroaci" 10190 18209958.66 728841.21 2625063.34 58141.33 972896.9 3881127.07
"203" "MG" "Coromandel" 27562 41938553.23 1304596.19 3837182.8 84171.54 1447961.22 10706586.99
"204" "MG" "Coronel Fabriciano" 104637 126067042 3780067 21919499 0 5488347 22558486
"205" "MG" "Coronel Murta" 9115 14271555.29 541832.3 1761860.54 42376.6 746836.4 3449249.77
"206" "MG" "Coronel Xavier Chaves" 3319 8669030.69 142239.5 2245613.56 16141.92 488107.3 1538966.73
"207" "MG" "Corrego Danta" 3349 14411504.34 474466.18 1440799.74 0 303769.34 2085819.69
"208" "MG" "Corrego do Bom Jesus" 3716 8752372.01 296397.17 937915.92 0 306003.69 2736614.33
"209" "MG" "Corrego Fundo" 5883 14573001 517890 3877306 6821 289760 3287014
"210" "MG" "Corrego Novo" 3050 9458831.5 388991.57 1731584.49 157568.32 556084.6 2239951.83
"211" "MG" "Couto de Magalhaes de Minas" 4234 9061579.85 435255.04 1130055.24 25393.97 441232.35 2284215.23
"212" "MG" "Crisolita" 6161 10662547.68 488248.09 2100220.98 34371.53 628180.47 2385375.32
"213" "MG" "Cristais" 11553 20020450.19 601096.02 2944599.73 102342.98 1083260.77 5161314.03
"214" "MG" "Cristalia" 5787 13898447.43 569279.25 2566393.74 34957.77 414619.67 2674002.33
"215" "MG" "Cristiano Otoni" 5023 10725311.81 0 978771.24 45571.45 381492.23 2437158.67
"216" "MG" "Cristina" 10191 16091888.32 408297.34 2986257.25 47765.96 593925.49 4369961.73
"217" "MG" "Crucilandia" 4800 11190511.05 379401.38 1094373.03 13185.03 274390.11 2593750.09
"218" "MG" "Cruzeiro da Fortaleza" 3967 12609875.56 381843.92 2119400.21 16556.22 325019.66 2536916.64
"219" "MG" "Cuparaque" 4728 12668017.45 532432.13 905678.71 17213.25 365221.2 2675596.75
"220" "MG" "Curral de Dentro" 7055 11736120.8 528695.34 1445071.18 0 476778.5 3217078.32
"221" "MG" "Curvelo" 75014 94501082.93 3266292.38 15976448.37 0 3834375.47 36870647.94
"222" "MG" "Delfim Moreira" 7962 13006803.02 314149.44 1417317.44 0 248064.19 2728667.16
"223" "MG" "Delfinopolis" 6869 22268836.77 660648.12 7025688.15 0 1123511.87 5578624.31
"224" "MG" "Delta" 8546 26906868.97 976933.33 3904206.98 385383.39 1376246.27 6213256.95
"225" "MG" "Desterro de Entre Rios" 7032 9740819.9 288258.1 1613641.59 0 250712.92 3223738.59
"226" "MG" "Desterro do Melo" 2986 9605715.41 369742.5 1292614.44 9219.67 495077.56 1871218.63
"227" "MG" "Diamantina" 46125 56342786.35 1951588.34 5629343.13 772456.16 2997961.12 17595567.45
"228" "MG" "Diogo de Vasconcelos" 3830 9892708.18 334911.06 1416849.91 0 723075.01 2396017.21
"229" "MG" "Dionisio" 8520 12633402.44 384313.09 1288503.05 0 230360.57 3738932.46
"230" "MG" "Divinesia" 3309 8862412.61 454316.4 1401796.66 0 190318.46 1627214.96
"231" "MG" "Divino" 19241 29738249.88 494391.84 3495273.68 151397.62 1131122.17 7843162.11
"232" "MG" "Divino das Laranjeiras" 4933 11033061.26 294731.36 2228817.66 22492.47 255967.32 2919026.99
"233" "MG" "Divinolandia de Minas" 7114 12577848.68 492006.13 826528.42 1510.29 404264.41 2745508.76
"234" "MG" "Divinopolis" 217404 372108566.84 10773434.78 26452915.68 118550.5 12442716.77 139613236.14
"235" "MG" "Divisa Alegre" 6046 12699079.38 542758.49 1339086.17 23167.08 707216.65 2362218.04
"236" "MG" "Divisa Nova" 5797 10873499.31 334099.18 2230161.97 28902.49 604170.12 2533072.53
"237" "MG" "Divisopolis" 9351 13797207.51 430830.05 1340715.06 0 600545.67 3009004.65
"238" "MG" "Dom Bosco" 3778 10031426.52 425589.23 1479195.28 1446.25 180939.53 2323837.73
"239" "MG" "Dom Cavati" 5170 9182161.92 385750.38 1113072.57 18613.33 369546.64 2752589.86
"240" "MG" "Dom Joaquim" 4511 12923588.44 433564.61 1101248.09 330309.2 264228.56 3001187.69
"241" "MG" "Dom Silverio" 5192 11511842.23 336511.52 1249759.84 18498.05 475125.94 2513359.29
"242" "MG" "Dom Vicoso" 2988 8065695.68 293009.43 1075628.01 16365.92 335708.91 2086086.16
"243" "MG" "Dona Eusebia" 6098 11808246.7 386813.55 1399513.65 0 372930.49 2395215.65
"244" "MG" "Dores de Guanhaes" 5200 15385146.19 314901.53 1732079.04 30759.85 474325.44 2580866.72
"245" "MG" "Dores do Indaia" 13686 19863919 707071.43 2285287.49 0 459586.2 4060279.5
"246" "MG" "Dores do Turvo" 4412 10078495.76 451350.26 828726.95 8622.42 267140.67 2020064.19
"247" "MG" "Doresopolis" 1454 9965495.03 625316.55 1463640.13 0 185737.58 1914580.87
"248" "MG" "Douradoquara" 1850 9745298.27 536142.77 3269556.13 11625.87 391123.33 1911639.9
"249" "MG" "Durande" 7487 10744384.13 447353.25 2246718.92 16799.74 229794.38 3484355.06
"250" "MG" "Eloi Mendes" 25715 34965899 643728 1677658 113185 1655229 10625239
"251" "MG" "Engenheiro Caldas" 10421 19068969.74 735733.07 2356482.76 43878.2 692959.16 3876711.55
"252" "MG" "Engenheiro Navarro" 7128 12679774.61 560885.1 1749826.49 4989.77 547554.96 3222513.75
"253" "MG" "Entre Folhas" 5194 10241899.91 399724.21 1619146.35 24819.85 523529.68 3369108.29
"254" "MG" "Entre Rios de Minas" 14413 18996211.43 712481.03 3024447.18 0 521730.04 5283141.29
"255" "MG" "Ervalia" 18087 23021400.24 724438.21 17428965.05 0 180436.46 2146298.11
"256" "MG" "Esmeraldas" 62262 72230118.71 2069486.6 10438237.25 75227.72 2749401.34 16872684.06
"257" "MG" "Espera Feliz" 23208 31356505.83 112164.46 29752895.02 31394.62 61124.88 476985.09
"258" "MG" "Espinosa" 31134 39386044.25 1452925.08 2596315.38 15093.82 1472386.64 11188660.96
"259" "MG" "Espirito Santo do Dourado" 4470 10013964.48 224361.07 792767.48 16096.81 143449.82 2474751.24
"260" "MG" "Estiva" 10918 14693950.04 437176.33 3937356.51 0 348307.77 3662092.71
"261" "MG" "Estrela Dalva" 2440 7924898.87 487993.19 1437846.24 12025.67 266757.53 2139131.69
"262" "MG" "Estrela do Indaia" 3504 10173345.74 459860.52 1416310.36 15840.59 583715.51 2777976.31
"263" "MG" "Estrela do Sul" 7532 16909779.09 746364.07 5494421.54 0 381563.75 3383769.84
"264" "MG" "Eugenopolis" 10657 14034161.09 577232.5 1692876.34 46099.2 316363.34 3796687.01
"265" "MG" "Extrema" 30016 79881037.2 3336345.59 13497746.04 226821.37 3036732.36 17967687.15
